Index,Delta Curvature: neural,Delta Curvature: control,Distances,"Rates, correlation empirical vs predicted","Variance, correlation empirical vs predicted","Covariance, correlation empirical vs predicted",Dataset,Pixel curvature,sequence type,dither
20,-6.17853082385401,-2.62360147845497,1.9721,0.968,0.932,0.8016,ay2_u003_image_sequences,107.549,1,2
21,-49.2076491985122,-0.249277840525023,0.5476,0.9134,0.8995,0.9192,ay4_u001_image_sequences,101.5326,1,2
22,-0.628146575651914,10.9914556701963,0.5813,0.9374,0.9193,0.9516,ay4_u001_image_sequences,105.9307,1,2
23,-20.8957864837032,1.07525805864505,1.2492,0.9468,0.9091,0.8762,ay4_u001_image_sequences,93.3074,1,2
24,4.03571069442836,-3.64740865530444,1.0248,0.9557,0.9377,0.8942,ay4_u001_image_sequences,104.9207,1,2
25,-61.1130485516552,-2.05870637506851,0.7334,0.9503,0.9334,0.933,ay4_u001_image_sequences,104.9132,1,2
26,-21.6086886163908,28.9814552539827,0.4476,0.9572,0.9228,0.8947,ay4_u001_image_sequences,84.9883,1,2
27,-3.16158831440772,-2.77777388235654,1.2006,0.9633,0.9556,0.9387,ay4_u001_image_sequences,86.3547,1,2
28,7.62413328378286,-15.1483093901004,1.0454,0.958,0.927,0.8686,ay4_u001_image_sequences,72.2898,1,2
29,-15.5365974295460,-13.3957266353853,0.6689,0.9489,0.9339,0.9589,ay4_u001_image_sequences,63.4753,1,2
30,-7.94482496062707,1.98974900386950,0.9805,0.953,0.9412,0.9606,ay4_u001_image_sequences,107.481,1,2
31,-40.2043824669416,17.3185530633902,0.6424,0.716,0.7344,0.8797,ay4_u001_image_sequences,99.0342,1,2
32,7.33101923114578,3.11584071127848,0.8861,0.9533,0.9317,0.8977,ay4_u001_image_sequences,103.6573,1,2
33,-3.82360297798935,6.19889725216683,0.6718,0.9261,0.9208,0.9001,ay4_u001_image_sequences,87.4242,1,2
34,50.9120191247243,0.0241454948728333,1.1262,0.9573,0.9512,0.9201,ay4_u001_image_sequences,106.6673,1,2
35,-12.7740207721054,8.53668434065515,0.7453,0.9307,0.9242,0.9132,ay4_u001_image_sequences,106.6373,1,2
36,-9.87876150952632,-7.51171798242094,0.6836,0.9506,0.9384,0.8999,ay4_u001_image_sequences,83.0395,1,2
37,13.5263421698428,4.67327171126080,1.3256,0.9618,0.9528,0.9615,ay4_u001_image_sequences,84.9083,1,2
38,5.85411257641453,-3.39039757963395,0.8704,0.9145,0.8891,0.8244,ay4_u001_image_sequences,73.4071,1,2
39,-6.81211328360436,-1.31684231375469,0.6641,0.9526,0.9397,0.9458,ay4_u001_image_sequences,62.1746,1,2
40,11.6261925535215,-8.45810732834999,1.0528,0.9559,0.927,0.9311,ay4_u001_image_sequences,107.549,1,2
41,-24.6401824016825,-0.856499799281354,2.272,0.9597,0.8898,0.7045,ay4_u006_image_sequences,101.5326,1,2
42,9.47577600232556,-3.54186732234390,1.6606,0.948,0.8926,0.6569,ay4_u006_image_sequences,105.9307,1,2
43,-25.0030143841471,-1.30536613248549,2.3033,0.9432,0.9029,0.7672,ay4_u006_image_sequences,93.3074,1,2
44,0.259047291934780,5.53597653933545,2.3469,0.9559,0.9121,0.627,ay4_u006_image_sequences,104.9207,1,2
45,-51.3264737105586,26.7398558947978,0.7835,0.9348,0.8906,0.7255,ay4_u006_image_sequences,104.9132,1,2
46,-63.8120455836540,-6.54684821469542,1.2704,0.9407,0.8766,0.7078,ay4_u006_image_sequences,84.9883,1,2
47,-33.1158525015978,5.26090314625253,2.6502,0.9477,0.9059,0.6228,ay4_u006_image_sequences,86.3547,1,2
48,-10.6586422491494,-1.21660779602064,2.775,0.9533,0.8803,0.6488,ay4_u006_image_sequences,72.2898,1,2
49,-41.9206131273905,49.5768581611663,0.6819,0.8791,0.8245,0.6765,ay4_u006_image_sequences,63.4753,1,2
50,-36.9464412183211,6.61272163950627,1.792,0.9471,0.8744,0.549,ay4_u006_image_sequences,107.481,1,2
51,-38.5374679190485,9.32172965603822,1.9221,0.9298,0.8218,0.4542,ay4_u006_image_sequences,99.0342,1,2
52,1.55263261070736,-6.36833437816475,1.6698,0.8861,0.8446,0.6228,ay4_u006_image_sequences,103.6573,1,2
53,-15.5066800134711,-3.15383671567889,2.0981,0.9219,0.8342,0.665,ay4_u006_image_sequences,87.4242,1,2
